subnational1,year,extent_2000_ha,loss_ha,loss_rate_%,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,emission_Mg_CO2e,emission_estimated_CO2e,carbon_loss_MgC,lag_1,lag_2,lag_3,lag_5,lag_7,lag_10,roll_mean_3,roll_std_3,pct_change_3,roll_mean_5,roll_std_5,pct_change_5,roll_mean_7,roll_std_7,pct_change_7,roll_mean_10,roll_std_10,pct_change_10,trend,sin_year,cos_year,prov_enc,prov_mean_loss
Lampung,2005,1783131,9319,0.522620043059091,162224187,542,4855209,18536795.66,5050898,10520.0,4981.0,9346.0,14513.5,14205.5,13514.5,8282.333333333334,2918.676126828327,-0.002888936443398271,17240.6,5139.581227977338,0.05911762543411603,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,4,-1.1076377890021368e-13,-1.0,17,13144.541666666666
Lampung,2006,1783131,14046,0.7877155408099573,162224187,542,7593744,27939460.439999998,7612932,9319.0,10520.0,4981.0,10335.0,14205.5,13514.5,8273.333333333334,2913.7938041868374,1.819915679582413,8900.2,2259.240071353735,0.35907111756168364,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,5,-0.5877852522923587,-0.8090169943750306,17,13144.541666666666
Lampung,2007,1783131,15584,0.8739683175268671,162224187,542,8008809,30998757.759999998,8446528,14046.0,9319.0,10520.0,9346.0,14205.5,13514.5,11295.0,2456.9495314280716,0.4813688212927756,9642.4,3243.5692223244355,0.6674513160710465,17640.071428571428,6234.743617288343,0.041157114531337746,16975.1,7256.98049774816,0.1856132422614606,6,-0.9510565162951724,-0.30901699437488944,17,13144.541666666666
Lampung,2008,1783131,16173,0.9070001026284665,162224187,542,9014570,32170361.22,8765766,15584.0,14046.0,9319.0,4981.0,10335.0,13514.5,12983.0,3264.970597108773,0.735486640197446,10890.0,4168.7886130157995,2.246938365790002,10590.142857142857,3453.9290394552613,0.5648766328011612,16975.1,7256.98049774816,0.1856132422614606,7,-0.9510565162951424,0.30901699437498176,17,13144.541666666666
Lampung,2009,1783131,23141,1.2977734109271837,162224187,542,11909937,46030688.74,12542422,16173.0,15584.0,14046.0,10520.0,9346.0,13514.5,15267.666666666666,1098.21779867129,0.647515306848925,13128.4,3060.099230418833,1.1997148288973385,11424.142857142857,4037.574743530085,1.4760325272843997,16975.1,7256.98049774816,0.1856132422614606,8,-0.587785252292464,0.809016994374954,17,13144.541666666666
Lampung,2010,1783131,14090,0.7901831104949665,162224187,542,7268716,28026982.599999998,7636780,23141.0,16173.0,15584.0,9319.0,4981.0,13514.5,18299.333333333332,4203.335857782336,-0.09586755646817247,15652.6,4976.125731933393,0.5119648030904604,13394.857142857143,5825.119724914785,1.828749247139129,16975.1,7256.98049774816,0.1856132422614606,9,-1.3703664537718588e-14,1.0,17,13144.541666666666
Lampung,2011,1783131,16755,0.9396393198256325,162224187,542,8765231,33328040.7,9081210,14090.0,23141.0,16173.0,14046.0,10520.0,10335.0,17801.333333333332,4740.121552588995,0.03598590242997579,16606.8,3769.0201246490487,0.1928662964545067,14696.142857142857,4498.683860448241,0.5926806083650189,12753.5,5007.970563680193,0.6211901306240928,10,0.5877852522924419,0.8090169943749701,17,13144.541666666666
Lampung,2012,1783131,30337,1.7013332166845845,162224187,542,16286859,60344540.18,16442654,16755.0,14090.0,23141.0,15584.0,9319.0,9346.0,17995.333333333332,4651.233205647587,0.3109632254440171,17148.6,3493.5147487894583,0.9466760780287475,15586.857142857143,4136.706799245485,2.2553922094645347,13395.5,5074.545874593498,2.2459875882730578,11,0.951056516295134,0.3090169943750078,17,13144.541666666666
Lampung,2013,1783131,5150,0.2888178154044767,162224187,542,2868658,10244071.0,2791300,30337.0,16755.0,14090.0,16173.0,14046.0,4981.0,20394.0,8713.380113365058,-0.6344925479063166,20099.2,6647.824847272161,-0.6815680455079454,18589.428571428572,6025.593936350163,-0.6333475722625659,15494.6,7136.081296249851,0.033928929933748186,12,0.9510565162951808,-0.30901699437486335,17,13144.541666666666
Lampung,2014,1783131,11365,0.6373620334120151,162224187,542,6464907,22606576.099999998,6159830,5150.0,30337.0,16755.0,23141.0,15584.0,10520.0,17414.0,12606.425068193812,-0.321695016413011,17894.6,9493.899741413397,-0.5088803422496867,17318.571428571428,7815.760207370339,-0.270726386036961,15511.5,7108.5630248171865,0.08032319391634979,13,0.5877852522925647,-0.8090169943748808,17,13144.541666666666
Lampung,2015,1783131,14132,0.7925385179215659,162224187,542,8232115,28110526.48,7659544,11365.0,5150.0,30337.0,14090.0,16173.0,9319.0,15617.333333333334,13120.899219692164,-0.5341661996901473,15539.4,9326.208463250736,0.0029808374733852894,16715.85714285714,8128.243648512886,-0.12619798429481233,15596.0,7047.395121604882,0.5164717244339521,14,1.3817110797565086e-13,-1.0,17,13144.541666666666
Lampung,2016,1783131,16242,0.9108697005435944,162224187,542,9822903,32307611.88,8803164,14132.0,11365.0,5150.0,16755.0,23141.0,14046.0,10215.666666666666,4599.978949225518,2.15378640776699,15547.8,9324.595417497192,-0.03061772605192481,16424.285714285714,8187.354023421013,-0.2981288621926451,16077.3,6728.199958220475,0.15634344297308833,15,-0.5877852522925252,-0.8090169943749096,17,13144.541666666666
